,source_text,plagiarized_text,label
0,Researchers have discovered a new species of butterfly in the Amazon rainforest.,Scientists have found a previously unknown butterfly species in the Amazon jungle.,1
1,The moon orbits the Earth in approximately 27.3 days.,Our natural satellite takes around 27.3 days to complete one orbit around our planet.,1
2,Water is composed of two hydrogen atoms and one oxygen atom.,H2O consists of 2 hydrogen atoms and 1 oxygen atom.,1
3,The history of Rome dates back to 753 BC.,Rome has a long history that can be traced back to 753 BC.,1
4,Pluto was once considered the ninth planet in our solar system.,"In the past, Pluto was classified as the ninth planet in our sun's planetary system.",1
5,This is a unique and original sentence.,This sentence is unique and original.,0
6,Artificial intelligence is reshaping industries.,AI is changing the landscape of various sectors.,0
7,Python is a popular programming language for data science.,Data science often relies on Python as a widely used programming language.,0
8,The Earth revolves around the Sun in a nearly circular orbit.,Our planet follows an almost circular path as it moves around the central star.,0
9,Paris is the capital of France.,France's capital city is Paris.,0
10,Plants use photosynthesis to convert sunlight into energy.,Photosynthesis in plants transforms sunlight into usable energy.,1
11,The Great Wall of China is one of the Seven Wonders of the World.,"Among the Seven Wonders, the Great Wall of China stands out.",1
12,Gravity is the force that attracts two bodies towards each other.,The force pulling two masses together is known as gravity.,1
13,A healthy diet includes a variety of fruits and vegetables.,Eating a mix of fruits and vegetables is part of a healthy diet.,1
14,New York City is known for its bustling Times Square.,Times Square is a famous spot in New York City.,1
15,The Sahara is the largest hot desert in the world.,The world's largest hot desert is the Sahara.,1
16,Shakespeare is regarded as one of the greatest playwrights in history.,One of history's greatest playwrights is Shakespeare.,1
17,The Pacific Ocean is the largest and deepest ocean on Earth.,Earth's largest and deepest ocean is the Pacific.,1
18,Climate change is a significant global issue.,Global warming is a major issue affecting the planet.,1
19,Birds have feathers and lay eggs.,Feathers and egg-laying are characteristic of birds.,1
20,The internet has revolutionized communication.,Communication has been transformed by the internet.,1
21,The human brain consists of billions of neurons.,Billions of neurons make up the human brain.,1
22,Photosynthesis occurs in the chloroplasts of plant cells.,Plant cells' chloroplasts are where photosynthesis takes place.,1
23,Mount Everest is the highest mountain in the world.,The world's highest mountain is Mount Everest.,1
24,Leonardo da Vinci painted the Mona Lisa.,The Mona Lisa was painted by Leonardo da Vinci.,1
25,The Amazon River is the longest river in South America.,South America's longest river is the Amazon River.,1
26,Albert Einstein developed the theory of relativity.,The theory of relativity was developed by Albert Einstein.,1
27,The Pyramids of Giza are located in Egypt.,Egypt is home to the Pyramids of Giza.,1
28,The chemical symbol for gold is Au.,Au is the chemical symbol for gold.,1
29,Mars is often called the Red Planet.,The Red Planet is a common name for Mars.,1
30,The Great Barrier Reef is located off the coast of Australia.,Off Australia's coast lies the Great Barrier Reef.,1
31,Venus is the second planet from the Sun.,The Sun's second planet is Venus.,1
32,Beethoven was a famous composer and pianist.,A renowned composer and pianist was Beethoven.,1
33,Hydrogen is the lightest element on the periodic table.,The lightest element on the periodic table is hydrogen.,1
34,"The speed of light in a vacuum is approximately 299,792 kilometers per second.","In a vacuum, light travels at about 299,792 kilometers per second.",1
35,Alexander Graham Bell is credited with inventing the telephone.,The invention of the telephone is credited to Alexander Graham Bell.,1
36,Antarctica is the coldest continent on Earth.,Earth's coldest continent is Antarctica.,1
37,"The Taj Mahal is located in Agra, India.","Agra, India is where the Taj Mahal is located.",1
38,Mitochondria are known as the powerhouse of the cell.,The powerhouse of the cell is known as mitochondria.,1
39,The Nile River flows through northeastern Africa.,Northeastern Africa is traversed by the Nile River.,1
40,Thomas Edison invented the electric light bulb.,The electric light bulb was invented by Thomas Edison.,1
41,The Pacific Ocean covers more area than any other ocean.,No ocean covers more area than the Pacific Ocean.,1
42,Honey never spoils and can last for thousands of years.,Honey can last for thousands of years without spoiling.,1
43,Neil Armstrong was the first person to walk on the Moon.,The first person to walk on the Moon was Neil Armstrong.,1
44,Julius Caesar was a key figure in the rise of the Roman Empire.,The rise of the Roman Empire saw Julius Caesar as a key figure.,1
45,Oxygen is essential for human respiration.,Human respiration requires oxygen.,1
46,"The Eiffel Tower is a famous landmark in Paris, France.","Paris, France is known for the Eiffel Tower.",1
47,Saturn is known for its prominent ring system.,The ring system of Saturn is prominent.,1
48,Marie Curie won Nobel Prizes in both Physics and Chemistry.,Nobel Prizes in both Physics and Chemistry were awarded to Marie Curie.,1
49,The Chernobyl disaster occurred in 1986.,1986 was the year of the Chernobyl disaster.,1
50,Honey bees communicate through a series of dance movements.,A series of dance movements is how honey bees communicate.,1
51,The Rosetta Stone helped decipher Egyptian hieroglyphs.,Egyptian hieroglyphs were deciphered with the help of the Rosetta Stone.,1
52,Dolphins are highly intelligent marine mammals.,Marine mammals known for their high intelligence are dolphins.,1
53,Mercury is the closest planet to the Sun.,The Sun's nearest planet is Mercury.,1
54,The human heart pumps blood throughout the body.,Blood is pumped throughout the body by the human heart.,1
55,Tsunamis are caused by underwater earthquakes or volcanic eruptions.,Underwater earthquakes or volcanic eruptions cause tsunamis.,1
56,"The Grand Canyon is located in the state of Arizona, USA.","Arizona, USA is home to the Grand Canyon.",1
57,Isaac Newton formulated the laws of motion and universal gravitation.,The laws of motion and universal gravitation were formulated by Isaac Newton.,1
58,The Blue Whale is the largest animal on Earth.,Earth's largest animal is the Blue Whale.,1
59,Lightning is a sudden electrostatic discharge during a storm.,A storm's sudden electrostatic discharge is lightning.,1
60,Charles Darwin proposed the theory of natural selection.,The theory of natural selection was proposed by Charles Darwin.,1
